d,disregistry,energy,energy_inf,label,stacking
4.99,0.0,-154.5966353627711,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.0,0.0,-154.59657589124853,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.01,0.0,-154.59651702482012,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.02,0.0,-154.59645875788763,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.03,0.0,-154.5964010848803,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.04,0.0,-154.5963440002559,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.05,0.0,-154.5962874985017,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.06,0.0,-154.59623157413552,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.07,0.0,-154.59617622170651,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.08,0.0,-154.5961214357962,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.09,0.0,-154.5960672110191,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.1,0.0,-154.5960135420236,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.11,0.0,-154.59596042349264,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.12,0.0,-154.5959078501443,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.13,0.0,-154.59585581673244,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.14,0.0,-154.59580431804736,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.15,0.0,-154.5957533489162,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.16,0.0,-154.59570290420345,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.17,0.0,-154.59565297881147,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.18,0.0,-154.59560356768083,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.19,0.0,-154.5955546657907,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.2,0.0,-154.59550626815926,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.21,0.0,-154.5954583698439,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.22,0.0,-154.5954109659415,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.23,0.0,-154.59536405158886,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.24,0.0,-154.5953176219627,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.25,0.0,-154.59527167227992,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.26,0.0,-154.59522619779787,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.27,0.0,-154.5951811938144,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.28,0.0,-154.59513665566791,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.29,0.0,-154.59509257873762,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.3,0.0,-154.59504895844353,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.31,0.0,-154.5950057902465,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.32,0.0,-154.59496306964823,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.33,0.0,-154.59492079219143,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.34,0.0,-154.5948789534596,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.35,0.0,-154.59483754907723,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.36,0.0,-154.5947965747096,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.37,0.0,-154.59475602606275,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.38,0.0,-154.59471589888352,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.39,0.0,-154.59467618895943,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.4,0.0,-154.59463689211842,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.41,0.0,-154.594598004229,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.42,0.0,-154.59455952119995,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.43,0.0,-154.5945214389803,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.44,0.0,-154.59448375355908,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.45,0.0,-154.59444646096526,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.46,0.0,-154.59440955726754,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.47,0.0,-154.59437303857422,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.48,0.0,-154.59433690103296,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.49,0.0,-154.59430114083065,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.5,0.0,-154.5942657541932,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.51,0.0,-154.59423073738532,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.52,0.0,-154.5941960867103,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.53,0.0,-154.59416179850984,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.54,0.0,-154.59412786916386,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.55,0.0,-154.5940942950901,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
5.56,0.0,-154.59406107274404,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
