vdw_corr,stacking,disregistry,d,energy
dft-d,AA,0.66667,3.56,-154.90827625853
dft-d,AA,0.66667,3.57,-154.90826102015464
dft-d,AA,0.66667,3.58,-154.90823618976617
dft-d,AA,0.66667,3.59,-154.90820234560658
dft-d,AA,0.66667,3.6,-154.9081585692916
dft-d,AA,0.66667,3.61,-154.90810489483547
dft-d,AA,0.66667,3.62,-154.90804666247243
dft-d,AA,0.66667,3.63,-154.90799499485593
dft-d,AA,0.66667,3.64,-154.90794380343866
dft-d,AA,0.66667,3.65,-154.90789802028408
dft-d,AA,0.66667,3.66,-154.9078550262964
dft-d,AA,0.66667,3.67,-154.9078050253772
dft-d,AA,0.66667,3.68,-154.9077463848434
dft-d,AA,0.66667,3.69,-154.9076802611788
dft-d,AA,0.66667,3.7,-154.90760730065384
dft-d,AA,0.66667,3.71,-154.90752729918313
dft-d,AA,0.66667,3.72,-154.90743954246778
dft-d,AA,0.66667,3.73,-154.90734464276397
dft-d,AA,0.66667,3.74,-154.9072504233448
dft-d,AA,0.66667,3.75,-154.90716508163987
dft-d,AA,0.66667,3.76,-154.90708096444723
dft-d,AA,0.66667,3.77,-154.90700589503996
dft-d,AA,0.66667,3.78,-154.90693188007384
dft-d,AA,0.66667,3.79,-154.90685147043234
dft-d,AA,0.66667,3.8,-154.9067643599874
dft-d,AA,0.66667,4.0,-154.90467034189973
dft-d,AA,0.66667,4.5,-154.89975076166368
dft-d,AA,0.66667,5.0,-154.89626511935333
dft-d,AA,0.66667,6.0,-154.89275379629876
dft-d,AA,0.66667,7.0,-154.89161520393864
dft-d3,AB,0.0,3.0,-154.872893941405
dft-d3,AB,0.0,3.2,-154.88430762061856
dft-d3,AB,0.0,3.21,-154.88465225280453
dft-d3,AB,0.0,3.22,-154.88497549003932
dft-d3,AB,0.0,3.23,-154.8852783527499
dft-d3,AB,0.0,3.24,-154.88556087495053
dft-d3,AB,0.0,3.25,-154.8858229886127
dft-d3,AB,0.0,3.26,-154.88606445563678
dft-d3,AB,0.0,3.27,-154.8862938816232
dft-d3,AB,0.0,3.28,-154.88652048442844
dft-d3,AB,0.0,3.29,-154.88673637275102
dft-d3,AB,0.0,3.3,-154.88695093451858
dft-d3,AB,0.0,3.31,-154.8871552580027
dft-d3,AB,0.0,3.32,-154.88734485332492
dft-d3,AB,0.0,3.33,-154.88751812181636
dft-d3,AB,0.0,3.34,-154.88767543763356
dft-d3,AB,0.0,3.35,-154.88781802528888
dft-d3,AB,0.0,3.36,-154.88794595281072
dft-d3,AB,0.0,3.37,-154.88805833582913
dft-d3,AB,0.0,3.38,-154.88815728322638
dft-d3,AB,0.0,3.39,-154.88825180877365
dft-d3,AB,0.0,3.4,-154.88834783094703
dft-d3,AB,0.0,3.41,-154.88843909112813
dft-d3,AB,0.0,3.42,-154.8885331744904
dft-d3,AB,0.0,3.43,-154.8886203529638
dft-d3,AB,0.0,3.44,-154.88869484412913
dft-d3,AB,0.0,3.45,-154.88875702214295
dft-d3,AB,0.0,3.46,-154.88880766933255
dft-d3,AB,0.0,3.47,-154.8888478741533
dft-d3,AB,0.0,3.48,-154.88887665019251
dft-d3,AB,0.0,3.49,-154.8888941335071
dft-d3,AB,0.0,3.5,-154.88890280713596
dft-d3,AB,0.0,3.51,-154.88891409986059
dft-d3,AB,0.0,3.52,-154.88892821576633
dft-d3,AB,0.0,3.53,-154.888942025544
dft-d3,AB,0.0,3.54,-154.88896018914323
dft-d3,AB,0.0,3.55,-154.8889716859532
dft-d3,AB,0.0,3.56,-154.888972978494
dft-d3,AB,0.0,3.57,-154.88896478106437
dft-d3,AB,0.0,3.58,-154.88894821613403
dft-d3,AB,0.0,3.59,-154.88892324968862
dft-d3,AB,0.0,3.6,-154.88888926947212
dft-d3,AB,0.0,3.61,-154.88884518702906
dft-d3,AB,0.0,3.62,-154.8887979752768
dft-d3,AB,0.0,3.63,-154.88875777045604
dft-d3,AB,0.0,3.64,-154.88871851803376
dft-d3,AB,0.0,3.65,-154.88868487795952
dft-d3,AB,0.0,3.66,-154.88865443522303
dft-d3,AB,0.0,3.67,-154.8886179379534
dft-d3,AB,0.0,3.68,-154.88857229085576
dft-d3,AB,0.0,3.69,-154.88852048718232
dft-d3,AB,0.0,3.7,-154.88846058812197
dft-d3,AB,0.0,3.71,-154.88839364811585
