stacking,disregistry,label,d,energy,energy_err,method
Mid,0.5,DFT-D2,3.3,-20.08983786328463,0,DFT-D2
Mid,0.5,DFT-D2,3.31,-20.177288450562628,0,DFT-D2
Mid,0.5,DFT-D2,3.32,-20.249806790496223,0,DFT-D2
Mid,0.5,DFT-D2,3.33,-20.305794214335037,0,DFT-D2
Mid,0.5,DFT-D2,3.34,-20.34895827312721,0,DFT-D2
Mid,0.5,DFT-D2,3.35,-20.379605095047737,0,DFT-D2
Mid,0.5,DFT-D2,3.36,-20.397258480807068,0,DFT-D2
Mid,0.5,DFT-D2,3.37,-20.40161230234662,0,DFT-D2
Mid,0.5,DFT-D2,3.38,-20.393925086187664,0,DFT-D2
Mid,0.5,DFT-D2,3.39,-20.383380674640648,0,DFT-D2
Mid,0.5,DFT-D2,3.4,-20.374945145420497,0,DFT-D2
Mid,0.5,DFT-D2,3.41,-20.36310819312348,0,DFT-D2
Mid,0.5,DFT-D2,3.42,-20.35412843618542,0,DFT-D2
Mid,0.5,DFT-D2,3.43,-20.340998943138402,0,DFT-D2
Mid,0.5,DFT-D2,3.44,-20.316678768169368,0,DFT-D2
Mid,0.5,DFT-D2,3.45,-20.281916224310407,0,DFT-D2
Mid,0.5,DFT-D2,3.46,-20.237867795483908,0,DFT-D2
Mid,0.5,DFT-D2,3.47,-20.184805595548823,0,DFT-D2
Mid,0.5,DFT-D2,3.48,-20.122389482101426,0,DFT-D2
Mid,0.5,DFT-D2,3.49,-20.0504833983141,0,DFT-D2
Mid,0.5,DFT-D2,3.5,-19.97116221219767,0,DFT-D2
Mid,0.5,DFT-D2,3.51,-19.895718648389447,0,DFT-D2
Mid,0.5,DFT-D2,3.52,-19.823404393799137,0,DFT-D2
Mid,0.5,DFT-D2,3.53,-19.75313099307823,0,DFT-D2
Mid,0.5,DFT-D2,3.54,-19.687823670043144,0,DFT-D2
Mid,0.5,DFT-D2,3.55,-19.617686326237163,0,DFT-D2
Mid,0.5,DFT-D2,3.56,-19.539317538612522,0,DFT-D2
Mid,0.5,DFT-D2,3.57,-19.45336357751512,0,DFT-D2
Mid,0.5,DFT-D2,3.58,-19.360776841378538,0,DFT-D2
Mid,0.5,DFT-D2,3.59,-19.26162535874755,0,DFT-D2
Mid,0.5,DFT-D2,3.6,-19.155296873417683,0,DFT-D2
Mid,0.5,DFT-D2,3.61,-19.041621314245276,0,DFT-D2
Mid,0.5,DFT-D2,3.62,-18.925564758945256,0,DFT-D2
Mid,0.5,DFT-D2,3.63,-18.817331476690015,0,DFT-D2
Mid,0.5,DFT-D2,3.64,-18.71144517636276,0,DFT-D2
Mid,0.5,DFT-D2,3.65,-18.612191651045578,0,DFT-D2
Mid,0.5,DFT-D2,3.66,-18.51712187609519,0,DFT-D2
Mid,0.5,DFT-D2,3.67,-18.417222080403008,0,DFT-D2
Mid,0.5,DFT-D2,3.68,-18.310825566586573,0,DFT-D2
Mid,0.5,DFT-D2,3.69,-18.19881670473842,0,DFT-D2
Mid,0.5,DFT-D2,3.7,-18.081773736717878,0,DFT-D2
Mid,0.5,DFT-D2,3.71,-17.959526591410395,0,DFT-D2
Mid,0.5,DFT-D2,3.72,-17.831360969954403,0,DFT-D2
Mid,0.5,DFT-D2,3.73,-17.697787085780874,0,DFT-D2
Mid,0.5,DFT-D2,3.74,-17.56608398433309,0,DFT-D2
Mid,0.5,DFT-D2,3.75,-17.443836838996504,0,DFT-D2
Mid,0.5,DFT-D2,3.76,-17.323936675617006,0,DFT-D2
Mid,0.5,DFT-D2,3.77,-17.213628525292734,0,DFT-D2
Mid,0.5,DFT-D2,3.78,-17.10546327152406,0,DFT-D2
Mid,0.5,DFT-D2,3.79,-16.99236595426919,0,DFT-D2
Mid,0.5,DFT-D2,3.8,-16.874030445469543,0,DFT-D2
Mid,0.5,DFT-D2,4.0,-14.348950011539273,0,DFT-D2
Mid,0.5,DFT-D2,4.5,-9.084669561038027,0,DFT-D2
Mid,0.5,DFT-D2,5.0,-5.545999064954231,0,DFT-D2
Mid,0.5,DFT-D2,6.0,-2.027941192733124,0,DFT-D2
Mid,0.5,DFT-D2,7.0,-0.8887025622243527,0,DFT-D2
AA,0.66667,DFT-D2,3.0,2.9739874959923327,0,DFT-D2
AA,0.66667,DFT-D2,3.2,-11.329166605544742,0,DFT-D2
AA,0.66667,DFT-D2,3.21,-11.812542838742957,0,DFT-D2
AA,0.66667,DFT-D2,3.22,-12.264898093475495,0,DFT-D2
AA,0.66667,DFT-D2,3.23,-12.68779702440952,0,DFT-D2
AA,0.66667,DFT-D2,3.24,-13.082089987263316,0,DFT-D2
AA,0.66667,DFT-D2,3.25,-13.447062683175318,0,DFT-D2
AA,0.66667,DFT-D2,3.26,-13.785538293421268,0,DFT-D2
AA,0.66667,DFT-D2,3.27,-14.104149592807516,0,DFT-D2
AA,0.66667,DFT-D2,3.28,-14.413338950340403,0,DFT-D2
AA,0.66667,DFT-D2,3.29,-14.706303519778885,0,DFT-D2
AA,0.66667,DFT-D2,3.3,-14.990900588454679,0,DFT-D2
AA,0.66667,DFT-D2,3.31,-15.261619850993156,0,DFT-D2
AA,0.66667,DFT-D2,3.32,-15.510604020120809,0,DFT-D2
AA,0.66667,DFT-D2,3.33,-15.737683024577564,0,DFT-D2
AA,0.66667,DFT-D2,3.34,-15.944523561774986,0,DFT-D2
AA,0.66667,DFT-D2,3.35,-16.13214605860412,0,DFT-D2
AA,0.66667,DFT-D2,3.36,-16.30078861466609,0,DFT-D2
AA,0.66667,DFT-D2,3.37,-16.450213130330667,0,DFT-D2
AA,0.66667,DFT-D2,3.38,-16.582188345637405,0,DFT-D2
AA,0.66667,DFT-D2,3.39,-16.706408316327725,0,DFT-D2
AA,0.66667,DFT-D2,3.4,-16.828485390520655,0,DFT-D2
AA,0.66667,DFT-D2,3.41,-16.942705177381868,0,DFT-D2
AA,0.66667,DFT-D2,3.42,-17.056686864612857,0,DFT-D2
AA,0.66667,DFT-D2,3.43,-17.160940481873695,0,DFT-D2
AA,0.66667,DFT-D2,3.44,-17.249955723702442,0,DFT-D2
AA,0.66667,DFT-D2,3.45,-17.32407273253193,0,DFT-D2
AA,0.66667,DFT-D2,3.46,-17.384754120197613,0,DFT-D2
AA,0.66667,DFT-D2,3.47,-17.432340029015904,0,DFT-D2
AA,0.66667,DFT-D2,3.48,-17.466796444787178,0,DFT-D2
AA,0.66667,DFT-D2,3.49,-17.487715196679346,0,DFT-D2
AA,0.66667,DFT-D2,3.5,-17.49829362242599,0,DFT-D2
AA,0.66667,DFT-D2,3.51,-17.509858460864052,0,DFT-D2
AA,0.66667,DFT-D2,3.52,-17.52159337050398,0,DFT-D2
AA,0.66667,DFT-D2,3.53,-17.532545952795772,0,DFT-D2
AA,0.66667,DFT-D2,3.54,-17.546423758933088,0,DFT-D2
AA,0.66667,DFT-D2,3.55,-17.552512306254357,0,DFT-D2
AA,0.66667,DFT-D2,3.56,-17.54744418588234,0,DFT-D2
AA,0.66667,DFT-D2,3.57,-17.532205810508458,0,DFT-D2
AA,0.66667,DFT-D2,3.58,-17.507375422050245,0,DFT-D2
AA,0.66667,DFT-D2,3.59,-17.473531262454344,0,DFT-D2
AA,0.66667,DFT-D2,3.6,-17.4297549474868,0,DFT-D2
