method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,4.0,AB,0.0,3.97,-17.56326402290142,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.98,-17.420191993616754,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.99,-17.27734414121369,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.0,-17.134762994479388,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.01,-16.99248911908944,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.02,-16.85056118731154,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.03,-16.709016045671888,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.04,-16.567888780671638,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.05,-16.427212781622075,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.06,-16.287019802693976,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.07,-16.147340021154378,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.08,-16.008202095283195,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.09,-15.869633219583193,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.1,-15.731659178127302,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.11,-15.594304396567168,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.12,-15.457591991929803,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.13,-15.321543821133673,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.14,-15.186180527758552,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.15,-15.051521587185562,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.16,-14.917585350136505,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.17,-14.78438908525277,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.18,-14.651949019549647,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.19,-14.520280378084863,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.2,-14.389397421997273,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.21,-14.259313485352322,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.22,-14.130041010503192,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.23,-14.00159158295719,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.24,-13.873975964146666,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.25,-13.747204123676056,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.26,-13.621285270375665,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.27,-13.49622788222041,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.28,-13.372039735200815,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.29,-13.2487279313209,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.3,-13.126298925431911,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.31,-13.004758551571285,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.32,-12.884112047846429,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.33,-12.764364080852829,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.34,-12.645518769015325,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.35,-12.527579705463722,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.36,-12.410549979569623,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.37,-12.29443219822133,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.38,-12.179228506283835,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.39,-12.064940606069285,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.4,-11.95156977622537,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.41,-11.839116890361765,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.42,-11.72758243442513,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.43,-11.616966523695737,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.44,-11.50726891940576,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.45,-11.39848904448445,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.46,-11.290625998924952,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.47,-11.18367857436533,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.48,-11.077645268320339,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.49,-10.972524298151257,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.5,-10.86831361381337,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.51,-10.7650109109818,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.52,-10.662613643275108,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.53,-10.561119033722207,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.54,-10.460524086665828,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.55,-10.360825598356314,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.56,-10.262020167720038,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.57,-10.164104206487536,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.58,-10.067073949147016,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.59,-9.97092546193744,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.6,-9.875654652598314,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.61,-9.78125727866427,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.62,-9.687728955992498,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.63,-9.595065166940913,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.64,-9.5032612682553,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.65,-9.412312498345273,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.66,-9.322213984734844,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.67,-9.232960750669008,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.68,-9.144547722418793,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.69,-9.056969735072926,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.7,-8.970221539086197,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.71,-8.88429780601291,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.72,-8.799193134298548,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.73,-8.7149020548095,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.74,-8.631419035955332,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.75,-8.54873848889838,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.76,-8.466854772297665,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.77,-8.38576219699462,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.78,-8.305455030407757,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.79,-8.225927501101978,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.8,-8.147173802339239,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.81,-8.069188096706057,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.82,-7.991964519314934,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.83,-7.915497181733372,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.84,-7.839780175418127,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.85,-7.764807574858423,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.86,-7.690573441010201,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.87,-7.617071824177401,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.88,-7.54429676689324,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.89,-7.472242306859698,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.9,-7.400902479334036,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.91,-7.330271320068277,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.92,-7.260342867404688,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.93,-7.1911111646622885,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.94,-7.122570262406953,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.95,-7.054714220575988,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.96,-6.987537110457197,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.97,-6.921033016580623,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.98,-6.855196038493887,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.99,-6.790020292653935,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.0,-6.725499913940439,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.01,-6.6616290573147126,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.02,-6.598401899129385,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.03,-6.535812638874631,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.04,-6.473855500255013,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.05,-6.412524732353631,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.06,-6.351814611261943,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.07,-6.291719440894667,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.08,-6.232233554008417,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.09,-6.1733513134822715,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.1,-6.115067113074474,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.11,-6.057375378353754,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.12,-6.000270567688858,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.13,-5.943747172772419,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.14,-5.8877997197269,-154.5893676485416
