method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,4.0,AB,0.0,4.31,10.207406796951545,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.32,10.328053300676402,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.33,10.447801267670002,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.34,10.566646579507506,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.35,10.684585643059108,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.36,10.801615368953208,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.37,10.917733150301501,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.38,11.032936842238996,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.39,11.147224742453545,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.4,11.260595572297461,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.41,11.373048458161065,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.42,11.4845829140977,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.43,11.595198824827094,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.44,11.70489642911707,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.45,11.813676304038381,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.46,11.921539349597879,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.47,12.0284867741575,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.48,12.134520080202492,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.49,12.239641050371574,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.5,12.34385173470946,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.51,12.44715443754103,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.52,12.549551705247723,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.53,12.651046314800624,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.54,12.751641261857003,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.55,12.851339750166517,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.56,12.950145180802792,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.57,13.048061142035294,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.58,13.145091399375815,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.59,13.24123988658539,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.6,13.336510695924517,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.61,13.43090806985856,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.62,13.524436392530333,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.63,13.617100181581918,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.64,13.70890408026753,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.65,13.799852850177558,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.66,13.889951363787986,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.67,13.979204597853823,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.68,14.067617626104038,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.69,14.155195613449905,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.7,14.241943809436634,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.71,14.327867542509921,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.72,14.412972214224283,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.73,14.497263293713331,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.74,14.580746312567499,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.75,14.663426859624451,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.76,14.745310576225165,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.77,14.826403151528211,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.78,14.906710318115074,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.79,14.986237847420853,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.8,15.064991546183592,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.81,15.142977251816774,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.82,15.220200829207897,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.83,15.296668166789459,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.84,15.372385173104703,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.85,15.447357773664407,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.86,15.52159190751263,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.87,15.59509352434543,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.88,15.667868581629591,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.89,15.739923041663133,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.9,15.811262869188795,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.91,15.881894028454553,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.92,15.951822481118143,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.93,16.021054183860542,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.94,16.089595086115878,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.95,16.157451127946842,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.96,16.224628238065634,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.97,16.291132331942208,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.98,16.356969310028944,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.99,16.422145055868896,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.0,16.48666543458239,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.01,16.550536291208118,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.02,16.613763449393446,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.03,16.6763527096482,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.04,16.738309848267818,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.05,16.7996406161692,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.06,16.860350737260887,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.07,16.920445907628164,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.08,16.979931794514414,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.09,17.03881403504056,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.1,17.097098235448357,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.11,17.154789970169077,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.12,17.211894780833973,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.13,17.268418175750412,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.14,17.32436562879593,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.15,17.3797425791563,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.16,17.43455443030689,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.17,17.488806549517903,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.18,17.54250426730141,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.19,17.595652877003886,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.2,17.64825763416593,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.21,17.700323755998397,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.22,17.751856421207776,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.23,17.802860769530525,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.24,17.85334190123831,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.25,17.903304876963375,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.26,17.952754717494827,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.27,18.00169640328386,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.28,18.050134874531068,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.29,18.098075030662585,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.3,18.14552173030097,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.31,18.192479791294318,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.32,18.238953990192385,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.33,18.28494906256674,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.34,18.330469702603295,-154.5893676485416
