method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,inf,AB,0.0,5.36,-4.438814991706749,-154.5903787222419
KC-QMC,inf,AB,0.0,5.37,-4.3978897049382795,-154.5903787222419
KC-QMC,inf,AB,0.0,5.38,-4.357388835633174,-154.5903787222419
KC-QMC,inf,AB,0.0,5.39,-4.317308167286683,-154.5903787222419
KC-QMC,inf,AB,0.0,5.4,-4.277643523470033,-154.5903787222419
KC-QMC,inf,AB,0.0,5.41,-4.238390767510282,-154.5903787222419
KC-QMC,inf,AB,0.0,5.42,-4.199545802664943,-154.5903787222419
KC-QMC,inf,AB,0.0,5.43,-4.161104571772739,-154.5903787222419
KC-QMC,inf,AB,0.0,5.44,-4.123063057224499,-154.5903787222419
KC-QMC,inf,AB,0.0,5.45,-4.085417280846741,-154.5903787222419
KC-QMC,inf,AB,0.0,5.46,-4.048163303814363,-154.5903787222419
KC-QMC,inf,AB,0.0,5.47,-4.011297226301394,-154.5903787222419
KC-QMC,inf,AB,0.0,5.48,-3.974815187539207,-154.5903787222419
KC-QMC,inf,AB,0.0,5.49,-3.938713365525473,-154.5903787222419
KC-QMC,inf,AB,0.0,5.5,-3.902987976820441,-154.5903787222419
KC-QMC,inf,AB,0.0,5.51,-3.8676352765760385,-154.5903787222419
KC-QMC,inf,AB,0.0,5.52,-3.8326515579828992,-154.5903787222419
KC-QMC,inf,AB,0.0,5.53,-3.798033152386779,-154.5903787222419
KC-QMC,inf,AB,0.0,5.54,-3.7637764290557243,-154.5903787222419
KC-QMC,inf,AB,0.0,5.55,-3.729877794685308,-154.5903787222419
KC-QMC,inf,AB,0.0,5.56,-3.696333693427732,-154.5903787222419
KC-QMC,inf,AB,0.0,5.57,-3.663140606658999,-154.5903787222419
KC-QMC,inf,AB,0.0,5.58,-3.6302950528042857,-154.5903787222419
KC-QMC,inf,AB,0.0,5.59,-3.59779358675587,-154.5903787222419
KC-QMC,inf,AB,0.0,5.6,-3.565632800164167,-154.5903787222419
KC-QMC,inf,AB,0.0,5.61,-3.5338093207974453,-154.5903787222419
KC-QMC,inf,AB,0.0,5.62,-3.502319812279893,-154.5903787222419
KC-QMC,inf,AB,0.0,5.63,-3.4711609742371365,-154.5903787222419
KC-QMC,inf,AB,0.0,5.64,-3.440329541655956,-154.5903787222419
KC-QMC,inf,AB,0.0,5.65,-3.4098222847969737,-154.5903787222419
KC-QMC,inf,AB,0.0,5.66,-3.3796360088454094,-154.5903787222419
KC-QMC,inf,AB,0.0,5.67,-3.3497675538237672,-154.5903787222419
KC-QMC,inf,AB,0.0,5.68,-3.3202137941261753,-154.5903787222419
KC-QMC,inf,AB,0.0,5.69,-3.290971638431074,-154.5903787222419
KC-QMC,inf,AB,0.0,5.7,-3.26203802935197,-154.5903787222419
KC-QMC,inf,AB,0.0,5.71,-3.233409943000879,-154.5903787222419
KC-QMC,inf,AB,0.0,5.72,-3.205084389192052,-154.5903787222419
KC-QMC,inf,AB,0.0,5.73,-3.177058410597965,-154.5903787222419
KC-QMC,inf,AB,0.0,5.74,-3.149329082982149,-154.5903787222419
KC-QMC,inf,AB,0.0,5.75,-3.121893514500698,-154.5903787222419
KC-QMC,inf,AB,0.0,5.76,-3.0947488457895815,-154.5903787222419
KC-QMC,inf,AB,0.0,5.77,-3.067892249469878,-154.5903787222419
KC-QMC,inf,AB,0.0,5.78,-3.0413209299731534,-154.5903787222419
KC-QMC,inf,AB,0.0,5.79,-3.0150321231922135,-154.5903787222419
KC-QMC,inf,AB,0.0,5.8,-2.989023096393794,-154.5903787222419
KC-QMC,inf,AB,0.0,5.81,-2.9632911476073787,-154.5903787222419
KC-QMC,inf,AB,0.0,5.82,-2.9378336056834087,-154.5903787222419
KC-QMC,inf,AB,0.0,5.83,-2.912647829914931,-154.5903787222419
KC-QMC,inf,AB,0.0,5.84,-2.8877312096301466,-154.5903787222419
KC-QMC,inf,AB,0.0,5.85,-2.863081164250616,-154.5903787222419
KC-QMC,inf,AB,0.0,5.86,-2.838695142592769,-154.5903787222419
KC-QMC,inf,AB,0.0,5.87,-2.8145706228679046,-154.5903787222419
KC-QMC,inf,AB,0.0,5.88,-2.790705112507567,-154.5903787222419
KC-QMC,inf,AB,0.0,5.89,-2.767096147610573,-154.5903787222419
KC-QMC,inf,AB,0.0,5.9,-2.7437412928557023,-154.5903787222419
KC-QMC,inf,AB,0.0,5.91,-2.720638141152449,-154.5903787222419
KC-QMC,inf,AB,0.0,5.92,-2.6977843135537114,-154.5903787222419
KC-QMC,inf,AB,0.0,5.93,-2.675177458790131,-154.5903787222419
KC-QMC,inf,AB,0.0,5.94,-2.6528152530663647,-154.5903787222419
