method,kT,stacking,disregistry,d,energy,energy_inf
KC-DFT-D3,inf,AB,0.0,4.09,-15.114116683893371,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.1,-15.002938485675259,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.11,-14.891774229705334,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.12,-14.780656326998724,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.13,-14.669615938182687,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.14,-14.558683011389803,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.15,-14.447886318841483,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.16,-14.337253492936725,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.17,-14.226811060885666,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.18,-14.116584478644654,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.19,-14.00659816377447,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.2,-13.896875527367229,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.21,-13.78743900518748,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.22,-13.678310087852878,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.23,-13.569509350403678,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.24,-13.461056480417028,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.25,-13.352970306325005,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.26,-13.245268823899096,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.27,-13.137969222589163,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.28,-13.03108791136765,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.29,-12.924640542885754,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.3,-12.818642037949758,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,4.31,-12.713106608658563,-154.8696519700625
