method,kT,lim,r2,rms
DFT-MBD,5,far,0.896944548951443,0.0031217503809837857
DFT-MBD,6,min,0.9988185903857664,0.00018655620045905769
DFT-MBD,6,far,0.9964249127809952,0.0005814414784207522
DFT-MBD,7,min,0.9987409046245247,0.0001925922256477565
DFT-MBD,7,far,0.9972312589244783,0.0005116863845885019
DFT-MBD,8,min,0.9986419567793784,0.00020001668885774221
DFT-MBD,8,far,0.9977743952384966,0.00045876123168736154
DFT-MBD,9,min,0.9985420627080606,0.0002072425178292651
DFT-MBD,9,far,0.9981481006783959,0.0004184767897789944
DFT-MBD,10,min,0.9984495288965087,0.00021371808590198163
DFT-MBD,10,far,0.998410609114373,0.00038768415225148676
DFT-MBD,11,min,0.9983709053445592,0.0002190698430271884
DFT-MBD,11,far,0.9985993514985706,0.00036393788731984666
DFT-MBD,12,min,0.9983015853609403,0.0002236821352606978
DFT-MBD,12,far,0.9987375674232541,0.0003455149039444119
DFT-MBD,13,min,0.7695559814865764,0.002605506479702562
DFT-MBD,13,far,0.8951173549508415,0.00314930342031912
DFT-MBD,14,min,0.7689569105644152,0.002608890967751706
DFT-MBD,14,far,0.8973983562751703,0.0031148694435669992
DFT-MBD,15,min,0.7700922943695023,0.002602472813062511
DFT-MBD,15,far,0.8991000780616986,0.0030889302679730887
DFT-MBD,16,min,0.77096533229649,0.0025975268750549852
DFT-MBD,16,far,0.9006240492334717,0.0030655142377452893
DFT-MBD,17,min,0.9980803011384681,0.00023780774309395294
DFT-MBD,17,far,0.9990734542117912,0.0002960030133711037
DFT-MBD,18,min,0.9980521512930501,0.00023954496580391962
DFT-MBD,18,far,0.9991059349798179,0.00029076842297939815
DFT-MBD,19,min,0.772575183677884,0.0025883819577606757
DFT-MBD,19,far,0.9042081083613995,0.0030097267202000818
DFT-MBD,20,min,0.772840232901343,0.0025868732204070762
DFT-MBD,20,far,0.905156651083789,0.0029947883114607066
DFT-MBD,inf,min,0.9977000198579014,0.00026029838932517177
DFT-MBD,inf,far,0.9993340659593688,0.00025094485549914956
